Year    Mon   Day  Hour   Min    Sec        Lat         Lon         Dep       Mw      Mcat     Stress drop      fc     NCEDC_ID
2002     6    15    23    43    17.92    35.973280  -120.527230     7.29     0.99     1.28         3.45        35.78   21230820
2002     6    16     8     7    55.65    35.972150  -120.526400     7.25     0.93     1.26         8.59        50.67   21230872
2002     6    30     1    19    37.55    36.007190  -120.564880     4.49     2.10     2.07         7.72        18.57   30224497
2002     7     6     2    31    33.44    36.009880  -120.566460     4.90     1.26     1.24         9.10        39.37   21233850
2002     7     6    17    37    20.12    35.972750  -120.526930     7.18     1.04     1.29        25.43        66.73   21233954
2002     7    17    20    34    18.64    35.924930  -120.471870     5.52     1.09     1.20         9.03        45.15   21235918
2002     7    23    13    41    14.81    35.962520  -120.514050     5.55     1.73     1.71        52.17        47.52   21237024
2002     7    24    15    24    51.46    36.000450  -120.558650     4.50     2.15     2.13         2.53        12.29   21237217
2002     7    31    12    14    37.52    35.960430  -120.513760     3.06     1.42     1.44         7.94        32.97   21238286
2002     8     2     5     0    11.19    36.003760  -120.562280     4.53     2.48     2.51         2.06         8.67   21238654
2002     8     3     1    31    54.49    35.890050  -120.437160    11.06     1.98     2.06        90.67        46.40   21238834
2002     8     3     6    37    35.57    35.990750  -120.549270     4.60     1.04     1.17         5.83        40.70   21238867
2002     8     3    17    35    28.92    36.004760  -120.562700     4.46     1.12     1.22         3.63        32.69   21238904
2002     8     4     9     7    41.14    35.999470  -120.554420    10.40     2.02     2.22       119.77        49.45   21238995
2002     8     4    10    13    20.14    35.999700  -120.554790    10.40     0.83     1.19         9.98        57.88   21239004
2002     8     8     9    50    17.37    35.999270  -120.557720     4.45     0.85     1.13         1.12        27.61   21239545
2002     8     8    13     7    41.57    35.883700  -120.431560     7.86     1.57     1.40         5.13        25.07   21239561
2002     8     8    13    14     8.13    35.883930  -120.431730     7.87     1.35     1.40        64.24        70.04   21239563
2002     8     8    13    38    37.07    35.883780  -120.431620     7.86     1.04     1.16        49.22        83.25   21239565
2002     8    14    23    44    34.80    35.990020  -120.549020     4.75     0.93     1.12         8.17        50.13   21240571
2002     8    18     8     9    54.11    35.939660  -120.486260    10.35     2.79     3.12        76.86        22.45   21241088
2002     8    18     8    27    46.43    35.941380  -120.488270    10.36     1.33     1.43        20.70        48.96   21241089
2002     8    18    13    30    58.77    35.941830  -120.488570    10.33     0.87     1.29      1062.85       266.47   21241106
2002     8    18    14     6    17.69    35.941770  -120.488780    10.33     0.98     1.28   1.6597e+09   2.8126e+04   21241110
2002     9     6     7    28    22.61    35.865300  -120.413750     8.84     3.68     3.90        32.16         7.96   21243814
2002     9     7    17    31     1.68    36.057530  -120.610190     6.50     2.50     2.37        21.47        18.70   21244195
2002     9     7    21     3    41.72    35.960360  -120.508270    10.86     1.47     1.45        40.21        54.15   21244215
2002     9    11     3    26    56.99    36.065080  -120.617370     6.26     2.06     1.79        41.63        33.57   21244768
2002     9    15     7    19    12.58    36.065150  -120.617460     6.23     2.29     1.99         8.49        16.27   21245451
2002     9    20     7    30    53.36    35.999220  -120.561110     3.42     1.74     1.74         2.73        17.65   21246091
2002     9    25     4     7    18.80    36.035890  -120.590730     4.56     1.39     1.44       122.21        83.72   21246935
2002     9    27    20    32    46.36    35.928020  -120.476150     5.40     2.39     2.36        28.16        22.40   21247429
2002     9    27    20    33    52.88    35.927740  -120.475650     5.39     1.37     1.30        14.42        41.94   30505575
2002     9    30    18    39    50.72    35.929000  -120.477190     5.19     0.69     0.92         5.13        52.49   21247906
2002     9    30    20    46    18.20    36.035970  -120.590590     4.70     1.57     1.59         7.16        28.08   21247926
2002    10     1    15    52    51.16    35.992700  -120.550970     4.96     0.95     1.21        15.41        60.65   21248038
2002    10    11     1    51    29.63    36.038670  -120.593130     4.62     1.53     1.50       105.52        70.98   21248961
2002    10    18    18    20    49.46    35.938550  -120.486430     5.56     1.36     1.32        13.86        41.59   21250710
2002    10    26    17    44    29.61    36.057910  -120.608000    10.09     1.38     1.49        17.27        44.29   21251858
2002    10    28    17    26    50.97    35.873370  -120.417020     5.27     2.24     2.25        28.68        25.58   21252154
2002    10    29    23    36    49.10    35.972520  -120.523490    11.51     1.23     1.32        13.16        45.68   21252386
2002    11    12    17     5    56.20    35.974690  -120.527580     7.82     1.01     1.28        23.55        66.83   21254384
2002    11    12    17     7    48.86    35.968580  -120.520300     7.68     0.91     1.25         6.99        48.17   21254385
2002    11    12    19     3     8.00    35.968920  -120.520100     7.92     1.52     1.53        31.95        48.32   21254405
2002    11    13     1     6    56.00    35.968530  -120.521010     7.51     0.95     1.28         9.39        51.42   21254463
2002    11    17     0     9    25.94    35.964070  -120.512080    10.83     1.89     1.90        79.52        47.98   21255338
2002    11    17    21    32    53.80    35.973730  -120.528440     3.88     1.53     1.50        39.81        51.43   21255449
2002    11    19     5    52    35.11    35.972850  -120.527050     7.27     1.40     1.48         2.57        22.98   21255685
2002    11    20     3     8    29.87    35.930270  -120.478110     5.32     1.63     1.52        20.46        38.01   21255897
2002    11    21     7    11    16.73    35.964090  -120.515290     7.51     0.76     1.09        24.34        82.66   21256108
2002    11    22     8     5     4.47    35.972200  -120.526470     7.26     1.16     1.23        16.97        52.63   21256353
2002    11    22    13    58    48.73    35.958160  -120.509640     7.30     0.76     1.11         3.60        43.76   21256399
2002    11    23    16    22    39.76    35.794770  -120.344600     9.07     1.34     1.53        26.67        52.87   21256567
2002    11    24    18    15     9.12    35.974400  -120.529390     3.88     2.85     2.81        12.17        11.53   21256718
2002    11    27    12    34    36.64    35.963030  -120.511060    10.84     0.94     1.12        39.94        83.87   21257435
2002    11    30     5    52    35.21    35.980160  -120.534720     7.75     1.43     1.37        33.11        52.63   21258017
2002    12     5    22     7    40.00    36.000610  -120.490780    10.17     2.10     1.82         5.17        16.15   21259025
2002    12     5    23    23    50.76    36.000630  -120.490550    10.17     1.28     1.30         5.93        33.70   21259061
2002    12     6     3    43    18.11    36.000430  -120.490300    10.16     1.30     1.29         2.48        24.73   21259115
2002    12     6     4    21    52.91    36.003130  -120.491780     9.91     0.93     1.10         8.87        51.35   21259119
2002    12     6     6    57    53.17    35.990730  -120.505790     8.28     0.81     1.09         3.56        41.92   21259129
2002    12    10    16     1    36.38    35.965000  -120.517630     7.34     2.09     1.97         9.18        19.76   21259733
2002    12    10    16     9     6.48    35.964720  -120.517300     7.34     1.08     1.20        25.16        64.07   21259735
2002    12    10    16    30    47.01    35.965100  -120.517870     7.30     1.14     1.20        33.10        66.94   21259745
2002    12    10    19    17    42.48    35.930110  -120.478800     4.72     1.13     1.20         4.73        35.29   21259755
2002    12    11    19     3    36.90    36.010510  -120.567130     4.79     1.94     1.95        21.59        29.85   21259850
2002    12    17     4    51    35.15    35.972740  -120.526970     7.18     1.24     1.25         8.17        38.47   21260437
2002    12    19     7     5    33.80    36.015000  -120.571690     4.76     1.14     1.19        11.19        46.50   21260611
2002    12    20    17    35    32.15    35.989910  -120.548470     4.59     1.51     1.65         9.88        32.82   21260698
2002    12    21     1    27    59.37    36.037790  -120.592200     4.68     1.43     1.41        29.37        50.34   21260710
2002    12    23     1    56    56.47    35.979650  -120.539140     2.88     0.47     1.10         3.64        55.99   21260937
2002    12    24    13    30    44.43    36.000150  -120.562030     3.40     1.14     1.50         4.50        34.30   21261157
2002    12    24    13    45    17.15    36.000350  -120.562270     3.41     1.50     1.72         7.16        29.75   21261161
2002    12    27    23    12    12.04    35.994570  -120.553830     4.96     1.30     1.36         7.75        35.98   21261480
2002    12    28     2    30    10.53    35.994360  -120.553470     4.92     1.71     1.70        11.67        29.34   21261499
2002    12    30    16    12    10.50    35.988800  -120.546940     4.60     0.86     1.11         5.64        46.73   21261700
